127.0.0.1 - - [19/Nov/2020:09:23:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:24:01 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:24:01 +0900] "GET /javascript_jquery_project_01/jQuery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:24:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:10 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:10 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:10 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:27 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:29 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:29 +0900] "GET /javascript_jquery_project_01/jQuery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /javascript_jquery_project_01/jQuery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /javascript_jquery_project_01/jQuery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /javascript_jquery_project_01/jQuery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:48:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:50:34 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:50:35 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:50:35 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:50:36 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:50:46 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1237
